station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
1001,70.56,-8.40,9
1002,80.04,16.15,7
1003,77.00,15.30,10
1006,78.15,22.49,13
1007,78.55,11.56,8
1008,78.15,15.28,27
1009,80.39,25.00,5
1010,69.18,16.08,13
1011,80.04,31.30,10
1013,78.04,13.37,9
1016,78.56,28.54,20
1017,77.41,14.47,7
1020,76.29,16.33,10
1023,69.04,18.32,77
1024,78.39,16.22,20
1025,69.41,18.55,9
1026,69.39,18.56,115
1028,74.31,19.00,18
1033,70.15,19.30,24
1044,70.29,22.09,6
1046,69.47,20.57,5
1047,69.00,23.02,307
1049,69.59,23.21,3
1052,70.41,23.41,79
1055,71.06,23.59,14
1058,69.35,23.32,381
1059,70.04,24.59,8
1062,76.31,25.01,10
1064,69.18,25.21,591
1065,69.28,25.30,131
1068,71.01,25.59,14
1074,71.02,27.50,12
1076,70.13,28.10,32
1078,71.05,28.13,8
1082,69.09,29.15,55
1083,70.52,29.02,13
1086,70.36,29.42,149
1088,70.04,29.50,39
1089,69.44,29.54,86
1098,70.22,31.06,15
1099,70.21,31.03,13
1102,65.12,11.00,16
1107,67.32,12.06,2
1108,65.42,11.51,9
1112,65.27,12.13,8
1114,66.54,13.39,8
1115,66.46,12.29,17
1116,65.58,12.28,17
1121,66.22,12.37,10
1122,65.47,13.13,72
1132,65.10,13.22,319
1135,66.08,13.35,124
1139,67.39,12.43,4
1141,68.09,13.37,26
1151,66.22,14.18,70
1152,67.16,14.22,13
1156,68.36,14.26,8
1158,67.10,15.29,8
1160,68.09,14.39,11
1161,68.15,14.40,8
1162,68.35,15.02,3
1167,68.42,15.25,3
1169,66.56,15.19,39
1180,68.48,16.32,46
1183,68.29,16.41,26
1193,68.26,17.23,29
1198,68.47,19.42,204
1199,68.45,23.32,384
1203,62.02,4.59,40
1205,62.20,5.16,37
1209,62.11,6.05,74
1210,62.34,6.07,21
1212,62.52,6.32,15
1217,62.45,7.16,3
1218,62.14,7.25,17
1223,63.07,7.49,62
1225,63.32,7.57,5
1228,63.51,8.28,6
1232,62.27,7.51,65
1237,63.31,9.07,13
1238,62.07,9.17,974
1240,64.10,9.24,16
1241,63.42,9.36,9
1245,62.36,9.40,599
1257,63.25,10.27,132
1259,64.24,10.27,18
1265,62.16,10.44,482
1271,63.28,10.56,17
1273,63.13,11.00,162
1278,63.47,11.40,81
1281,64.45,12.51,140
1282,64.50,11.08,4
1288,62.35,11.21,626
1290,64.28,11.34,2
1293,63.25,11.44,170
1300,61.12,2.16,80
1304,61.34,4.41,25
1307,60.47,4.43,19
1310,61.35,5.02,11
1311,60.17,5.14,50
1317,60.23,5.20,36
1320,61.50,6.06,60
1321,61.55,6.33,209
1323,61.23,5.46,319
1327,60.23,5.58,455
1329,60.21,6.16,50
1337,60.38,6.26,55
1338,61.10,6.39,54
1340,60.24,7.17,736
1347,61.09,7.08,498
1350,60.36,7.32,1210
1355,61.06,7.30,4
1356,61.31,7.54,2062
1357,60.52,8.31,804
1358,60.51,8.36,604
1359,60.32,8.12,774
1360,61.54,7.54,664
1361,62.01,7.40,872
1362,61.41,8.22,1893
1363,60.25,8.32,798
1364,61.11,8.07,955
1366,61.34,8.00,1413
1367,60.59,9.13,365
1368,61.01,9.18,822
1370,61.32,9.24,928
1373,60.34,9.08,167
1378,61.06,10.29,242
1383,61.26,11.05,257
1384,60.12,11.05,208
1385,60.49,11.04,222
1389,61.11,11.22,256
1392,60.37,12.01,185
1393,61.53,12.02,674
1397,61.18,12.16,361
1400,56.33,3.13,49
1403,59.18,4.52,56
1406,59.54,5.04,16
1408,59.21,5.12,26
1411,59.04,5.25,22
1412,58.40,5.33,26
1415,58.53,5.38,9
1424,59.39,6.22,3
1425,58.30,6.30,66
1427,58.07,6.34,14
1431,58.55,6.55,555
1433,59.50,6.59,1081
1434,59.46,7.22,822
1435,59.49,7.13,990
1440,59.21,6.52,1105
1441,59.35,7.23,836
1442,58.40,7.48,211
1447,59.30,8.12,562
1448,58.04,8.03,8
1450,59.50,8.11,977
1452,58.12,8.05,17
1455,59.02,8.31,255
1461,59.51,8.39,1804
1465,58.24,8.47,15
1466,59.58,11.02,108
1467,58.38,9.09,5
1469,60.10,10.15,142
1470,59.23,9.12,93
1473,59.37,9.38,173
1476,58.51,9.35,5
